epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4648,1.76568,7.41979,4.99877,1.57692,0,0,0,0,0,0,0,0,1.43174,6.83276,4.17797,1.4179,0.00013336,0.00013336,0.00013336
2,10.6706,1.75269,5.29999,4.78585,1.41659,0,0,0,0,0,0,0,0,1.61145,4.00006,3.94115,1.16258,0.000280584,0.000280584,0.000280584
3,12.8085,1.29706,4.05853,3.75939,1.06645,0,0,0,0,0,0,0,0,1.41772,3.7897,3.94934,1.09658,0.000424838,0.000424838,0.000424838
4,14.7378,1.39715,3.44255,2.92959,1.0955,0,0,0,0,0,0,0,0,1.25252,3.06351,3.72746,1.02967,0.000566122,0.000566122,0.000566122
5,16.942,1.47606,3.23823,2.48536,1.10375,0.5,0.0625,0.28124,0.14062,0.5,0.0625,0.28124,0.08437,1.06204,2.65113,3.62044,0.93298,0.000704434,0.000704434,0.000704434
6,18.7049,1.33636,3.29432,2.43496,1.11835,0,0,0,0,0,0,0,0,1.00859,2.45508,3.51903,0.96012,0.000839776,0.000839776,0.000839776
7,20.7371,1.29494,3.20784,2.54046,1.19629,0.36364,0.5,0.4975,0.3246,0.31818,0.4375,0.44923,0.1783,1.05642,2.41028,3.32618,0.98952,0.000972148,0.000972148,0.000972148
8,22.8164,1.25893,2.4811,2.27948,1.10319,0.13793,0.5,0.4975,0.37978,0.12069,0.4375,0.41378,0.2089,0.99063,1.6282,3.18053,0.94139,0.00110155,0.00110155,0.00110155
9,24.5384,1.21077,2.43706,1.73052,0.99679,0.1,0.5,0.4975,0.33236,0.0875,0.4375,0.42734,0.09002,1.02223,1.76625,3.00283,0.94341,0.00122798,0.00122798,0.00122798
10,26.2882,1.36023,2.5452,1.96479,1.15761,0.48036,0.5,0.4975,0.338,0.48036,0.5,0.4975,0.19433,1.04319,2.01118,2.62284,0.98612,0.00135144,0.00135144,0.00135144
11,28.5065,1.22545,2.3897,1.99933,1.09604,0.96734,0.5,0.96722,0.73745,0.96734,0.5,0.96722,0.52356,0.95542,1.98545,2.5123,0.94451,0.00147193,0.00147193,0.00147193
12,30.7834,1.19892,2.19402,1.65941,1.00821,0.98299,0.5,0.995,0.77493,0.98299,0.5,0.995,0.54276,0.95152,1.90603,2.33375,0.92674,0.00148546,0.00148546,0.00148546
13,33.3256,1.21838,2.02022,1.66561,1.0708,1,0.36012,0.95242,0.73677,1,0.36012,0.95242,0.53157,0.90952,2.07989,2.4041,0.92471,0.00146896,0.00146896,0.00146896
14,35.8338,1.19464,2.07863,1.62236,1.00304,0.31601,1,0.76283,0.5626,0.31601,1,0.76283,0.47632,0.99183,2.27822,2.2153,0.94711,0.00145246,0.00145246,0.00145246
15,38.1295,1.17463,2.13363,1.59786,1.0707,0.73653,1,0.83614,0.62685,0.73653,1,0.83614,0.47647,1.04327,2.60105,1.55008,0.95714,0.00143595,0.00143595,0.00143595
16,40.1287,1.1731,2.41379,1.54331,1.04323,0.75655,1,0.98833,0.69153,0.75655,1,0.98833,0.491,1.16537,2.45124,1.29676,1.01467,0.00141945,0.00141945,0.00141945
17,42.4439,1.07462,1.96608,1.4714,1.05997,0.79759,0.99213,0.983,0.72598,0.79759,0.99213,0.983,0.51788,1.0475,2.19111,1.258,0.97475,0.00140295,0.00140295,0.00140295
18,44.75,1.10565,1.86827,1.62575,1.11,0.87767,1,0.995,0.78763,0.87767,1,0.995,0.56974,0.91693,1.87625,1.17147,0.92972,0.00138644,0.00138644,0.00138644
19,46.9684,1.06139,2.01797,1.25568,1.01466,0.9882,1,0.995,0.79804,0.9882,1,0.995,0.56036,0.8732,1.89655,1.04236,0.89903,0.00136994,0.00136994,0.00136994
20,49.3077,1.09669,1.98697,1.69687,1.09445,0.98988,1,0.995,0.78113,0.98988,1,0.995,0.62529,0.98502,1.82783,0.99308,0.95327,0.00135344,0.00135344,0.00135344
21,51.2181,1.09687,1.89762,1.39635,1.07191,0.99335,1,0.995,0.76377,0.99335,1,0.995,0.59373,0.95891,1.85073,0.9311,0.9262,0.00133693,0.00133693,0.00133693
22,53.3175,1.02476,1.90549,1.40363,1.11948,0.99241,1,0.995,0.75526,0.99241,1,0.995,0.53765,0.91262,2.05395,0.88412,0.91343,0.00132043,0.00132043,0.00132043
23,55.1741,1.02295,1.84629,1.23367,1.00174,0.99364,1,0.995,0.75145,0.99364,1,0.995,0.4772,0.90436,2.56018,0.89648,0.91369,0.00130393,0.00130393,0.00130393
24,57.2145,0.943,2.05354,1.38383,1.0686,0.99317,1,0.995,0.76263,0.99317,1,0.995,0.51629,0.90458,2.62167,0.85425,0.91516,0.00128742,0.00128742,0.00128742
25,59.0192,0.96326,1.7217,1.24662,1.03111,0.9919,1,0.995,0.76995,0.93004,0.9375,0.89826,0.48143,0.93094,2.2149,0.89555,0.92778,0.00127092,0.00127092,0.00127092
26,60.7437,1.03206,2.0178,1.13468,0.94667,0.9932,1,0.995,0.72801,0.9932,1,0.995,0.51232,0.93771,1.80727,0.866,0.92893,0.00125442,0.00125442,0.00125442
27,62.6894,1.0155,1.75217,1.33901,1.04179,0.99375,1,0.995,0.7215,0.99375,1,0.995,0.51062,0.95292,1.83322,0.8133,0.92346,0.00123791,0.00123791,0.00123791
28,64.4999,0.94014,1.90801,1.23016,1.03445,0.99181,1,0.995,0.75635,0.92995,0.9375,0.94162,0.51446,0.90825,1.95232,0.76306,0.90981,0.00122141,0.00122141,0.00122141
29,66.3894,0.9927,1.76614,1.30945,1.06985,0.9929,1,0.995,0.75297,0.9929,1,0.995,0.51434,0.93192,2.02758,0.70182,0.91114,0.00120491,0.00120491,0.00120491
30,68.1017,1.05093,2.01126,1.0032,0.95463,0.99312,1,0.995,0.73356,0.99312,1,0.995,0.4925,1.0666,2.27711,0.68938,0.94678,0.0011884,0.0011884,0.0011884
31,70.078,0.95269,1.65469,1.39373,1.09596,0.99078,1,0.995,0.76943,0.99078,1,0.995,0.53196,1.04027,2.01863,0.67387,0.93794,0.0011719,0.0011719,0.0011719
32,71.9439,0.95949,1.59985,1.11335,1.01656,0.99125,1,0.995,0.79443,0.99125,1,0.995,0.575,0.95843,1.88419,0.68873,0.91796,0.0011554,0.0011554,0.0011554
33,73.6841,0.97888,1.94109,1.05538,0.98549,0.99366,1,0.995,0.78417,0.99366,1,0.995,0.56053,0.95559,1.91086,0.67792,0.91306,0.00113889,0.00113889,0.00113889
34,75.469,0.99482,2.07914,1.03358,0.97286,0.99357,1,0.995,0.77369,0.99357,1,0.995,0.57401,0.9161,1.67063,0.66774,0.90297,0.00112239,0.00112239,0.00112239
35,77.2048,0.89191,1.6692,1.0158,0.94343,0.99093,1,0.995,0.79409,0.99093,1,0.995,0.5638,0.93347,1.94325,0.64186,0.91705,0.00110589,0.00110589,0.00110589
36,78.8603,0.89947,1.6173,0.96919,0.93475,0.99331,1,0.995,0.76642,0.99331,1,0.995,0.56115,0.94567,1.93715,0.60631,0.92293,0.00108938,0.00108938,0.00108938
37,80.8056,0.87806,1.62801,1.00295,0.99048,0.99178,1,0.995,0.75602,0.99178,1,0.995,0.57747,0.92795,1.71814,0.67522,0.92144,0.00107288,0.00107288,0.00107288
38,82.5676,0.88263,1.62578,1.00946,0.98429,0.99232,1,0.995,0.76514,0.99232,1,0.995,0.57556,0.94509,1.665,0.66219,0.92325,0.00105638,0.00105638,0.00105638
39,84.2237,0.93862,1.79062,0.92003,0.93164,0.99373,1,0.995,0.76494,0.99373,1,0.995,0.56708,0.97568,1.7286,0.67627,0.93553,0.00103987,0.00103987,0.00103987
40,86.2013,0.90349,1.67498,1.0144,1.01049,0.99098,1,0.995,0.76642,0.99098,1,0.995,0.50983,0.95316,2.04868,0.64297,0.91795,0.00102337,0.00102337,0.00102337
41,88.0331,0.85731,1.61553,0.92549,0.95161,0.99155,1,0.995,0.79786,0.99155,1,0.995,0.52141,0.89909,2.20309,0.60374,0.89673,0.00100687,0.00100687,0.00100687
42,89.7622,0.92883,1.90674,0.95571,0.98221,0.9916,1,0.995,0.83886,0.9916,1,0.995,0.5327,0.852,2.17476,0.56179,0.89128,0.000990365,0.000990365,0.000990365
43,91.5515,0.9452,1.61901,0.90444,0.99617,0.99618,1,0.995,0.81825,0.99618,1,0.995,0.54193,0.86967,1.91234,0.56357,0.89509,0.000973861,0.000973861,0.000973861
44,93.3169,0.91296,1.64994,0.96287,1.02319,0.99663,1,0.995,0.82851,0.99663,1,0.995,0.51646,0.89073,2.04743,0.56838,0.90254,0.000957358,0.000957358,0.000957358
45,95.1536,0.8208,1.60559,0.95695,1.00923,0.99045,1,0.995,0.79367,0.99045,1,0.995,0.53016,0.90411,2.10639,0.55491,0.90439,0.000940855,0.000940855,0.000940855
46,97.0391,0.91828,1.66759,0.95372,0.98526,0.99003,1,0.995,0.78034,0.99003,1,0.995,0.55039,0.89455,1.88276,0.53068,0.89442,0.000924352,0.000924352,0.000924352
47,98.7796,0.87988,1.7027,0.85949,1.00269,0.99663,1,0.995,0.80267,0.99663,1,0.995,0.61344,0.87237,1.61444,0.52368,0.89229,0.000907848,0.000907848,0.000907848
48,100.471,0.89614,1.86538,0.78934,0.92506,0.99665,1,0.995,0.80923,0.99665,1,0.995,0.63327,0.86035,1.54201,0.49766,0.88774,0.000891345,0.000891345,0.000891345
49,102.132,0.92057,1.64736,0.86478,0.96374,1,1,0.995,0.7893,1,1,0.995,0.63308,0.90262,1.59536,0.47462,0.904,0.000874842,0.000874842,0.000874842
50,103.92,0.80657,1.70376,0.91627,0.95098,0.99627,1,0.995,0.80864,0.99627,1,0.995,0.62078,0.91581,1.6592,0.46491,0.90479,0.000858338,0.000858338,0.000858338
51,105.776,0.84193,1.54388,0.89894,0.97758,0.99657,1,0.995,0.7785,0.99657,1,0.995,0.56297,0.97344,1.93518,0.48209,0.92741,0.000841835,0.000841835,0.000841835
52,107.524,0.93104,1.84252,0.87739,0.97144,0.99667,1,0.995,0.76605,0.99667,1,0.995,0.55768,0.9652,2.04099,0.4802,0.92602,0.000825332,0.000825332,0.000825332
53,109.283,0.85583,1.568,0.80849,1.0007,0.99672,1,0.995,0.78328,0.99672,1,0.995,0.56129,0.96011,1.96116,0.4813,0.92384,0.000808828,0.000808828,0.000808828
54,110.942,0.82201,1.77573,0.76541,0.92852,0.99656,1,0.995,0.82521,0.99656,1,0.995,0.5979,0.94201,1.86946,0.46777,0.91387,0.000792325,0.000792325,0.000792325
55,112.839,0.88768,1.56713,0.81535,0.92752,0.99639,1,0.995,0.83736,0.99639,1,0.995,0.598,0.91809,1.79588,0.48141,0.90505,0.000775822,0.000775822,0.000775822
56,114.661,0.85579,1.573,0.83873,0.95321,0.98814,1,0.995,0.82551,0.98814,1,0.995,0.60734,0.89427,1.76288,0.48499,0.89659,0.000759318,0.000759318,0.000759318
57,116.522,0.86184,1.87301,0.85151,0.93775,0.99075,1,0.995,0.8259,0.99075,1,0.995,0.61846,0.87537,1.76533,0.50318,0.89221,0.000742815,0.000742815,0.000742815
58,118.318,0.78159,1.48285,0.84905,0.95138,0.99278,1,0.995,0.82985,0.99278,1,0.995,0.62631,0.88871,1.71651,0.49025,0.89724,0.000726312,0.000726312,0.000726312
59,120.344,0.82252,1.90161,0.90076,1.00053,1,1,0.995,0.78234,1,1,0.995,0.58646,0.91454,1.8228,0.4955,0.90703,0.000709809,0.000709809,0.000709809
60,122.041,0.83042,1.39653,0.73858,0.94024,1,1,0.995,0.79801,1,1,0.995,0.58764,0.92369,1.94526,0.49098,0.91631,0.000693305,0.000693305,0.000693305
61,123.778,0.84797,1.74768,0.79079,0.94049,1,1,0.995,0.80075,1,1,0.995,0.58287,0.961,2.0163,0.50489,0.93809,0.000676802,0.000676802,0.000676802
62,125.586,0.84485,1.7357,0.81476,0.98599,1,1,0.995,0.79473,1,1,0.995,0.59994,0.95959,1.99166,0.47669,0.9376,0.000660299,0.000660299,0.000660299
63,127.398,0.77866,1.46836,0.7537,0.94499,0.99674,1,0.995,0.81955,0.99674,1,0.995,0.58593,0.91268,1.9528,0.43847,0.91493,0.000643795,0.000643795,0.000643795
64,129.028,0.82462,1.66282,0.70123,0.903,0.99667,1,0.995,0.80605,0.99667,1,0.995,0.55643,0.87899,1.9644,0.43288,0.89109,0.000627292,0.000627292,0.000627292
65,130.703,0.79853,1.50669,0.7303,0.91933,0.99665,1,0.995,0.79546,0.99665,1,0.995,0.53911,0.8681,1.9327,0.43922,0.87759,0.000610789,0.000610789,0.000610789
66,132.333,0.8642,1.77876,0.71175,0.91586,0.99662,1,0.995,0.79352,0.99662,1,0.995,0.54409,0.88011,1.87156,0.43941,0.87843,0.000594286,0.000594286,0.000594286
67,134.085,0.78353,1.56818,0.67498,0.88904,0.99681,1,0.995,0.80451,0.99681,1,0.995,0.56863,0.87785,1.78208,0.44836,0.88168,0.000577782,0.000577782,0.000577782
68,135.824,0.83897,1.68284,0.76438,0.93532,0.99671,1,0.995,0.81544,0.99671,1,0.995,0.58463,0.86552,1.7854,0.45422,0.88552,0.000561279,0.000561279,0.000561279
69,137.528,0.78826,1.51466,0.68821,0.93034,0.99641,1,0.995,0.79431,0.99641,1,0.995,0.57293,0.87724,1.75791,0.44294,0.89605,0.000544776,0.000544776,0.000544776
70,139.33,0.76201,1.72472,0.80293,0.96392,0.99637,1,0.995,0.81764,0.99637,1,0.995,0.55798,0.88857,1.70359,0.42648,0.90465,0.000528272,0.000528272,0.000528272
71,141.029,0.72183,1.45343,0.65978,0.91759,0.99647,1,0.995,0.80436,0.99647,1,0.995,0.55817,0.92194,1.76328,0.41378,0.91973,0.000511769,0.000511769,0.000511769
72,142.679,0.81444,1.59463,0.6884,0.93247,0.99673,1,0.995,0.78568,0.99673,1,0.995,0.56072,0.93666,1.82975,0.4137,0.92197,0.000495266,0.000495266,0.000495266
73,144.362,0.7679,1.34931,0.67299,0.92808,0.99675,1,0.995,0.79366,0.99675,1,0.995,0.56902,0.93605,1.90111,0.41349,0.9132,0.000478762,0.000478762,0.000478762
74,146.084,0.78231,1.47795,0.7267,0.94614,0.99663,1,0.995,0.80732,0.99663,1,0.995,0.56849,0.91635,2.01783,0.41681,0.89909,0.000462259,0.000462259,0.000462259
75,147.94,0.77679,1.48014,0.74718,0.95816,0.99632,1,0.995,0.80684,0.99632,1,0.995,0.57666,0.89313,2.08707,0.43541,0.88738,0.000445756,0.000445756,0.000445756
76,149.684,0.75283,1.50086,0.65,0.90138,0.99599,1,0.995,0.83916,0.99599,1,0.995,0.58366,0.85625,1.91097,0.44164,0.87539,0.000429253,0.000429253,0.000429253
77,151.532,0.74835,1.41851,0.7001,0.90262,0.996,1,0.995,0.84998,0.996,1,0.995,0.59653,0.82632,1.81044,0.43132,0.86642,0.000412749,0.000412749,0.000412749
78,153.184,0.71292,1.45741,0.65859,0.92178,0.99628,1,0.995,0.84211,0.99628,1,0.995,0.61293,0.81952,1.72567,0.4273,0.86508,0.000396246,0.000396246,0.000396246
79,154.976,0.80317,1.64416,0.76474,0.94373,1,1,0.995,0.8294,1,1,0.995,0.5918,0.84019,1.71722,0.42551,0.87181,0.000379743,0.000379743,0.000379743
80,156.729,0.77723,1.41073,0.71317,0.93292,1,1,0.995,0.82507,1,1,0.995,0.57922,0.87792,1.73903,0.4246,0.8844,0.000363239,0.000363239,0.000363239
81,158.488,0.74956,1.5334,0.66812,0.91086,1,1,0.995,0.79567,1,1,0.995,0.56653,0.92134,1.78516,0.41707,0.89973,0.000346736,0.000346736,0.000346736
82,160.143,0.77883,1.54345,0.64373,0.89633,1,1,0.995,0.78639,1,1,0.995,0.57275,0.93553,1.82679,0.42141,0.90441,0.000330233,0.000330233,0.000330233
83,161.936,0.75694,1.4531,0.69212,0.90159,1,1,0.995,0.82515,1,1,0.995,0.58198,0.87894,1.88958,0.40798,0.8853,0.000313729,0.000313729,0.000313729
84,163.671,0.70917,1.62603,0.6272,0.862,1,1,0.995,0.8303,1,1,0.995,0.59237,0.85126,1.90964,0.39928,0.87388,0.000297226,0.000297226,0.000297226
85,165.358,0.70788,1.34745,0.61116,0.91718,1,1,0.995,0.8303,1,1,0.995,0.58766,0.84155,1.96126,0.38681,0.87096,0.000280723,0.000280723,0.000280723
86,167.301,0.68466,1.38592,0.68495,0.93583,1,1,0.995,0.83073,1,1,0.995,0.58332,0.84511,2.00517,0.39244,0.87344,0.00026422,0.00026422,0.00026422
87,169.111,0.75289,1.46889,0.6565,0.96386,0.99657,1,0.995,0.82014,0.99657,1,0.995,0.57085,0.86435,2.07076,0.38526,0.87901,0.000247716,0.000247716,0.000247716
88,170.904,0.72007,1.37358,0.64365,0.95557,0.99663,1,0.995,0.82862,0.99663,1,0.995,0.55997,0.88624,2.11504,0.38981,0.88802,0.000231213,0.000231213,0.000231213
89,172.731,0.69299,1.46662,0.66951,0.93906,0.9967,1,0.995,0.81165,0.9967,1,0.995,0.57284,0.90609,2.12909,0.40125,0.89516,0.00021471,0.00021471,0.00021471
90,174.529,0.76478,1.57457,0.66496,0.92692,0.99676,1,0.995,0.80787,0.99676,1,0.995,0.58584,0.92305,2.07114,0.39707,0.90121,0.000198206,0.000198206,0.000198206
91,184.262,0.74489,1.61838,0.6365,0.87659,1,1,0.995,0.81695,1,1,0.995,0.5936,0.90914,1.91263,0.40745,0.89392,0.000181703,0.000181703,0.000181703
92,186.021,0.78416,1.69759,0.63758,0.94071,1,1,0.995,0.81259,1,1,0.995,0.59834,0.90279,1.83536,0.40037,0.88983,0.0001652,0.0001652,0.0001652
93,187.753,0.66435,1.36187,0.58014,0.86032,1,1,0.995,0.82107,1,1,0.995,0.59435,0.89695,1.80545,0.39732,0.88685,0.000148696,0.000148696,0.000148696
94,189.494,0.69918,1.4558,0.61614,0.93872,1,1,0.995,0.81932,1,1,0.995,0.59326,0.89948,1.78782,0.40308,0.88685,0.000132193,0.000132193,0.000132193
95,191.197,0.69256,1.28259,0.60338,0.90401,1,1,0.995,0.81084,1,1,0.995,0.58534,0.89407,1.77955,0.4014,0.88453,0.00011569,0.00011569,0.00011569
96,192.922,0.71513,1.45149,0.60132,0.90964,1,1,0.995,0.81084,1,1,0.995,0.58534,0.88577,1.77628,0.38982,0.88259,9.91865e-05,9.91865e-05,9.91865e-05
97,194.726,0.73933,1.48807,0.62245,0.88403,1,1,0.995,0.80655,1,1,0.995,0.57319,0.88514,1.77702,0.38969,0.88308,8.26832e-05,8.26832e-05,8.26832e-05
98,196.498,0.65853,1.35976,0.63396,0.91106,1,1,0.995,0.80655,1,1,0.995,0.57035,0.88598,1.79406,0.39312,0.88371,6.61799e-05,6.61799e-05,6.61799e-05
99,198.44,0.68484,1.33158,0.68996,0.96309,1,1,0.995,0.82211,1,1,0.995,0.58368,0.88633,1.83878,0.38903,0.88535,4.96766e-05,4.96766e-05,4.96766e-05
100,200.08,0.72027,1.47412,0.59737,0.90982,1,1,0.995,0.81822,1,1,0.995,0.57511,0.88424,1.85725,0.38939,0.88531,3.31733e-05,3.31733e-05,3.31733e-05
